sector,t_skills,m_skills,s_skills,s_activas,afinidad_t,afinidad_m,t_min,t_max,t_avg,clase_fatiga
19,"[6, 2, 0, 7, 4, 5, 8, 0, 5, 2, 0, 0, 0, 3, 0, 2, 2, 1, 5, 4]","[0, 0, 1, 1, 0, 0, 0, 2, 2, 0, 0, 2, 2, 9, 0, 10, 2, 3, 1, 0]","[7, 6, 0, 8, 9, 4, 6, 6, 2, 0, 2, 9, 0, 1, 3, 4, 10, 6, 8, 4]",30,0.6183426618527035,0.7028092125376733,5,45,25.16157031071498,1
12,"[7, 7, 2, 4, 2, 8, 8, 6, 6, 0, 8, 4, 5, 7, 9, 8, 3, 0, 8, 0]","[2, 0, 2, 0, 0, 0, 1, 0, 2, 0, 10, 4, 2, 8, 4, 9, 0, 9, 9, 3]","[4, 2, 0, 8, 0, 8, 2, 2, 3, 3, 6, 8, 4, 4, 4, 4, 2, 0, 4, 1]",15,0.5652081888255257,0.6492351985167442,9,25,17.070205872519352,2
3,"[0, 3, 2, 2, 8, 4, 8, 4, 1, 9, 2, 10, 5, 2, 2, 8, 7, 4, 0, 5]","[0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 5, 2, 0, 8, 6, 2, 7, 8, 0]","[1, 0, 4, 9, 0, 3, 3, 10, 6, 5, 2, 2, 10, 1, 0, 7, 4, 0, 5, 10]",23,0.32980634181931257,0.25237967406869305,0,18,10.154021548877811,3
9,"[6, 7, 3, 0, 7, 9, 8, 1, 5, 7, 8, 7, 5, 5, 7, 1, 8, 7, 9, 0]","[2, 1, 1, 2, 0, 2, 2, 1, 1, 0, 2, 9, 5, 6, 6, 7, 6, 6, 4, 5]","[5, 5, 0, 0, 4, 1, 5, 6, 3, 10, 8, 0, 5, 2, 4, 7, 4, 5, 5, 4]",14,0.15890566719983973,0.0704297842420432,3,28,15.393401836904632,4
25,"[9, 5, 5, 3, 1, 3, 8, 8, 4, 10, 0, 8, 2, 4, 0, 7, 5, 10, 9, 9]","[1, 1, 0, 1, 0, 1, 2, 0, 0, 2, 8, 3, 9, 3, 0, 8, 5, 2, 7, 10]","[3, 4, 10, 3, 6, 10, 1, 7, 3, 4, 7, 7, 0, 0, 6, 1, 7, 5, 4, 7]",14,0.7824455908424759,0.8532739468906898,2,61,31.147731923013907,3
7,"[0, 3, 1, 10, 2, 0, 0, 8, 10, 3, 9, 1, 10, 10, 1, 4, 4, 4, 8, 8]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 4, 6, 4, 4, 4, 7, 5, 10, 9, 9]","[5, 7, 2, 7, 0, 9, 2, 8, 3, 3, 0, 1, 5, 9, 2, 2, 2, 5, 7, 1]",23,0.3453511292524907,0.4139680900423395,0,56,28.82972653307898,3
16,"[3, 0, 2, 8, 5, 5, 6, 7, 2, 1, 7, 9, 0, 9, 0, 0, 8, 4, 0, 8]","[1, 2, 0, 2, 1, 0, 0, 2, 0, 2, 3, 5, 0, 7, 4, 10, 0, 7, 4, 5]","[0, 0, 3, 4, 3, 8, 0, 4, 5, 7, 5, 3, 3, 0, 4, 3, 10, 6, 7, 2]",18,0.5884425446384028,0.8344892825334693,3,28,15.028144736124572,1
15,"[10, 9, 3, 1, 9, 1, 0, 0, 4, 3, 7, 1, 5, 1, 7, 5, 3, 0, 9, 0]","[0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 8, 0, 5, 0, 7, 0, 5, 0, 7, 3]","[4, 6, 4, 1, 3, 9, 2, 7, 3, 4, 7, 8, 4, 9, 6, 1, 2, 7, 7, 9]",21,0.8447368481226506,0.929153125461504,0,51,25.76562661102307,0
9,"[6, 3, 9, 4, 0, 0, 5, 5, 0, 2, 0, 0, 1, 0, 0, 7, 2, 9, 8, 1]","[2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 3, 0, 7, 5, 3, 4, 2, 4, 7]","[1, 0, 3, 2, 9, 1, 3, 5, 1, 10, 7, 3, 5, 1, 1, 8, 0, 6, 9, 7]",10,0.11049125519460286,0.14788437196206156,5,50,26.914424035372697,4
21,"[2, 8, 5, 9, 4, 5, 10, 3, 6, 1, 4, 10, 0, 7, 7, 0, 5, 10, 10, 4]","[2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 8, 6, 10, 0, 4, 8, 7, 5, 7, 8]","[7, 8, 0, 2, 5, 3, 10, 2, 0, 7, 10, 3, 0, 10, 5, 4, 10, 7, 1, 0]",17,0.6622660588260387,0.7370152492122936,5,46,24.46775386471351,1
0,"[4, 9, 6, 10, 9, 0, 5, 6, 2, 5, 4, 1, 8, 4, 6, 8, 8, 4, 2, 7]","[0, 0, 1, 0, 2, 0, 2, 1, 0, 0, 4, 4, 5, 10, 3, 10, 4, 7, 6, 1]","[3, 0, 7, 7, 0, 7, 0, 1, 8, 5, 2, 10, 0, 10, 6, 6, 6, 2, 10, 6]",27,0.6896648319821594,0.655636828312414,3,39,20.023125302458084,1
19,"[2, 8, 7, 0, 1, 5, 0, 8, 0, 10, 0, 8, 6, 0, 10, 10, 3, 5, 2, 1]","[0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 6, 6, 4, 4, 8, 4, 3, 8, 0, 4]","[5, 7, 10, 5, 2, 9, 5, 7, 6, 0, 0, 0, 0, 2, 7, 4, 1, 6, 6, 0]",13,0.34118268609633484,0.19307300100901753,6,39,22.280016635018235,3
0,"[5, 6, 1, 4, 5, 9, 0, 5, 7, 0, 6, 6, 3, 8, 2, 6, 6, 4, 7, 10]","[0, 2, 0, 2, 0, 0, 2, 1, 2, 0, 7, 7, 4, 8, 2, 8, 2, 1, 0, 9]","[5, 8, 4, 3, 6, 4, 2, 9, 3, 8, 9, 9, 8, 2, 1, 3, 2, 3, 4, 5]",18,0.23495244728655962,0.24835961299788603,4,29,17.227097483260483,3
7,"[1, 0, 6, 2, 9, 3, 8, 4, 0, 6, 5, 4, 7, 10, 4, 6, 6, 0, 3, 9]","[0, 0, 0, 0, 2, 0, 0, 2, 2, 1, 3, 3, 10, 9, 0, 2, 9, 1, 6, 3]","[1, 5, 6, 5, 3, 1, 9, 6, 0, 10, 9, 4, 3, 6, 4, 5, 5, 9, 8, 0]",17,0.3420058612364607,0.5704466722243241,7,19,13.777938763377156,2
15,"[10, 10, 1, 7, 6, 10, 0, 6, 10, 9, 10, 7, 7, 9, 6, 5, 6, 2, 7, 0]","[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 4, 2, 1, 3, 10, 7, 6, 0, 4, 3]","[8, 5, 3, 0, 0, 1, 10, 9, 7, 4, 1, 6, 2, 6, 1, 5, 10, 2, 7, 8]",20,0.6083624938360829,0.43301042221580294,4,51,27.600842332803985,2
0,"[10, 1, 0, 2, 4, 3, 6, 0, 7, 6, 6, 7, 5, 10, 6, 2, 5, 0, 10, 7]","[0, 0, 2, 1, 0, 2, 2, 0, 1, 0, 0, 9, 9, 0, 3, 3, 3, 2, 8, 3]","[9, 6, 4, 8, 1, 0, 1, 5, 5, 2, 8, 3, 8, 4, 3, 2, 4, 2, 4, 9]",23,0.5321651426153465,0.41975631054425305,-1,40,21.35846913339509,2
4,"[0, 10, 6, 5, 6, 4, 4, 0, 4, 4, 4, 9, 4, 2, 9, 9, 5, 5, 5, 6]","[2, 0, 0, 0, 0, 1, 0, 2, 0, 2, 10, 6, 0, 3, 4, 4, 0, 8, 9, 4]","[0, 6, 7, 4, 5, 5, 7, 9, 4, 2, 8, 2, 7, 10, 6, 3, 4, 0, 7, 1]",17,0.7882373153587607,0.6922669275008355,9,56,31.47119337485069,1
24,"[8, 3, 4, 1, 9, 7, 0, 7, 2, 5, 6, 0, 1, 6, 8, 5, 8, 5, 4, 5]","[0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 5, 3, 7, 1, 0, 5, 5, 3, 7, 10]","[7, 4, 4, 9, 10, 2, 0, 5, 0, 1, 0, 0, 0, 1, 3, 9, 4, 4, 1, 3]",29,0.5228284492096135,0.5301225905294279,5,42,21.77519146143588,2
5,"[2, 10, 6, 7, 4, 3, 0, 6, 0, 7, 5, 1, 0, 0, 9, 1, 8, 8, 8, 3]","[1, 0, 2, 0, 1, 1, 2, 0, 0, 0, 4, 9, 7, 8, 0, 5, 0, 0, 4, 6]","[8, 0, 0, 3, 7, 6, 3, 9, 1, 1, 8, 5, 9, 9, 3, 3, 2, 2, 8, 10]",13,0.753497796628125,0.6376470504049735,8,44,26.28221233690328,3
17,"[5, 6, 4, 7, 5, 3, 10, 5, 5, 5, 4, 4, 3, 5, 3, 7, 6, 6, 10, 6]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 6, 1, 7, 2, 2, 1, 9, 8, 6, 9]","[7, 8, 3, 0, 7, 0, 1, 7, 5, 7, 10, 2, 6, 1, 4, 4, 9, 4, 5, 3]",16,0.9177447413505849,1.0871410795218186,7,50,29.183569574691244,0
19,"[6, 0, 6, 6, 5, 2, 7, 6, 9, 0, 6, 1, 8, 7, 0, 6, 4, 9, 0, 10]","[0, 0, 0, 2, 0, 2, 0, 1, 1, 1, 9, 4, 3, 0, 6, 8, 4, 10, 7, 3]","[8, 3, 3, 7, 2, 0, 5, 10, 8, 7, 5, 1, 8, 7, 2, 0, 2, 5, 10, 8]",21,0.7045292074928123,0.8538708029472231,5,48,27.06860270425367,1
10,"[4, 5, 10, 4, 10, 8, 7, 0, 10, 6, 10, 7, 2, 3, 9, 3, 3, 4, 2, 7]","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 6, 7, 6, 5, 7, 6, 2, 2, 8, 7]","[4, 0, 1, 0, 2, 3, 7, 8, 1, 0, 0, 0, 2, 10, 8, 0, 0, 7, 10, 5]",20,0.502641616331146,0.4464494587346351,5,30,17.922702364204454,2
25,"[9, 9, 4, 5, 8, 1, 10, 7, 7, 9, 9, 0, 0, 7, 6, 2, 6, 3, 0, 4]","[0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 1, 4, 9, 4, 7, 3, 0, 1, 6, 0]","[3, 1, 2, 2, 7, 7, 0, 3, 6, 4, 1, 2, 8, 5, 10, 5, 0, 7, 5, 6]",23,0.0749913990942242,0.4106561350516389,3,29,14.624583990588576,3
20,"[2, 9, 8, 6, 6, 0, 3, 0, 3, 9, 5, 7, 9, 3, 10, 2, 4, 1, 5, 8]","[2, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 8, 6, 9, 2, 7, 6, 6, 1, 9]","[3, 5, 3, 2, 2, 3, 7, 7, 1, 8, 7, 2, 9, 5, 0, 7, 2, 0, 0, 3]",24,0.5176063295105799,0.47789918815531907,4,51,28.88537451583938,2
13,"[3, 9, 0, 4, 3, 8, 3, 10, 3, 10, 8, 7, 9, 8, 5, 0, 0, 1, 9, 6]","[0, 0, 0, 1, 0, 0, 2, 1, 1, 1, 9, 0, 8, 0, 5, 4, 7, 9, 8, 9]","[7, 0, 8, 9, 4, 10, 4, 2, 6, 5, 1, 7, 10, 1, 7, 3, 5, 3, 2, 2]",14,0.901025009596148,0.8722791846279848,6,27,14.755971990534224,0
22,"[7, 0, 7, 8, 1, 2, 4, 7, 2, 3, 10, 0, 2, 4, 6, 7, 0, 0, 4, 2]","[2, 2, 0, 2, 0, 0, 1, 1, 0, 2, 2, 5, 0, 1, 2, 5, 8, 8, 9, 7]","[0, 4, 8, 1, 7, 4, 2, 9, 2, 0, 5, 10, 1, 0, 7, 0, 8, 6, 0, 3]",22,0.1672131574658324,0.06685123572582302,9,49,28.295712907467383,4
25,"[0, 0, 7, 9, 10, 3, 8, 1, 4, 9, 4, 9, 5, 10, 1, 7, 3, 3, 8, 6]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 0, 2, 8, 8, 2, 10, 7]","[2, 0, 5, 0, 4, 9, 0, 3, 5, 5, 1, 9, 2, 3, 2, 0, 0, 3, 2, 1]",13,0.014394780928628632,0.10496820191123243,0,48,25.18101694146208,4
24,"[9, 10, 1, 0, 3, 6, 5, 2, 5, 7, 5, 5, 8, 2, 1, 6, 7, 1, 6, 3]","[0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 10, 1, 3, 7, 7, 8, 3, 2, 1]","[5, 6, 4, 10, 6, 2, 5, 1, 0, 2, 6, 1, 3, 10, 5, 6, 4, 5, 2, 5]",15,0.6566294937595599,0.7356282592518534,2,41,21.326464452047663,1
24,"[6, 10, 0, 5, 7, 2, 6, 4, 3, 0, 4, 4, 8, 2, 7, 8, 9, 4, 4, 4]","[1, 0, 2, 1, 2, 1, 0, 1, 0, 0, 5, 6, 0, 6, 2, 0, 4, 0, 4, 4]","[10, 5, 3, 6, 6, 6, 3, 6, 4, 3, 7, 2, 6, 6, 0, 0, 1, 8, 6, 8]",19,0.3082862379600249,0.28772420215623334,1,25,12.09485743858615,3
6,"[3, 3, 8, 1, 5, 1, 5, 1, 6, 3, 5, 2, 3, 3, 3, 10, 4, 7, 4, 1]","[1, 2, 0, 1, 1, 2, 0, 0, 0, 1, 1, 9, 1, 0, 10, 5, 8, 10, 10, 7]","[7, 9, 0, 2, 7, 2, 2, 10, 9, 4, 3, 5, 0, 9, 7, 4, 8, 5, 8, 4]",18,0.8047155837001523,0.952006623555925,3,31,16.395929950927346,0
22,"[5, 7, 8, 8, 2, 7, 8, 2, 3, 7, 3, 4, 1, 10, 7, 7, 1, 10, 3, 5]","[0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 3, 3, 6, 7, 0, 7, 5, 3, 3, 8]","[2, 0, 7, 0, 6, 0, 2, 10, 7, 0, 9, 7, 3, 2, 5, 9, 9, 8, 6, 0]",22,0.5161116788793665,0.3900294916229363,4,59,31.335909470083884,2
2,"[2, 5, 7, 9, 5, 3, 6, 5, 2, 8, 0, 4, 6, 6, 3, 8, 3, 10, 10, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 4, 4, 0, 4, 5, 3, 9, 10, 0, 0]","[9, 6, 0, 9, 4, 5, 1, 3, 5, 10, 8, 6, 10, 4, 0, 3, 6, 7, 4, 5]",23,0.2685418970380176,0.27481018673175384,9,21,15.653949220773375,3
14,"[1, 0, 1, 2, 8, 7, 0, 9, 3, 1, 3, 9, 10, 9, 9, 0, 7, 5, 7, 3]","[0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 3, 2, 6, 0, 9, 0, 7, 0, 0, 0]","[6, 2, 0, 4, 2, 2, 7, 0, 7, 2, 1, 0, 0, 2, 6, 9, 4, 3, 1, 4]",18,0.2445905600193077,0.2366655531922585,6,43,23.730747182600894,0
24,"[6, 9, 3, 7, 8, 3, 10, 5, 8, 8, 1, 7, 6, 4, 7, 4, 3, 7, 1, 1]","[0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 6, 6, 5, 4, 6, 7, 4, 3, 5, 7]","[3, 4, 7, 1, 4, 1, 9, 0, 4, 6, 0, 7, 6, 10, 5, 0, 2, 7, 4, 3]",23,0.4205313153642661,0.34892655004548423,6,21,14.206714496142052,2
