Cluster,Occupation,Task Description
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Consultar con el personal de ingeniería sobre los detalles y las implicaciones de los procedimientos y resultados de las pruebas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Operar y calibrar sistemas y dispositivos informáticos para cumplir con los requisitos de prueba y realizar la adquisición y análisis de datos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Registre e interprete datos de prueba sobre piezas, conjuntos y mecanismos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Ajustar, reparar o reemplazar componentes defectuosos de las configuraciones y equipos de prueba.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Fabricar e instalar piezas y sistemas para probar en equipos de prueba, utilizando herramientas manuales, herramientas eléctricas e instrumentos de prueba.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Terminar la instrumentación y desinstrumentación del vehículo.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Construir y mantener instalaciones de prueba para piezas y sistemas de aeronaves, según especificaciones.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Diseñar sistemas eléctricos y mecánicos para aplicaciones de instrumentación aviónica.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Intercambio de componentes del sistema de refrigeración en varios vehículos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Formular modelos matemáticos u otros métodos de análisis informático para desarrollar, evaluar o modificar el diseño, según los requisitos de ingeniería del cliente.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Planificar o realizar pruebas experimentales, ambientales, operativas o de estrés sobre modelos o prototipos de aeronaves o sistemas o equipos aeroespaciales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Formular el diseño conceptual de productos o sistemas aeronáuticos o aeroespaciales para cumplir con los requisitos del cliente o cumplir con las regulaciones ambientales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Planificar o coordinar la investigación y resolución de informes de clientes sobre problemas técnicos con aeronaves o vehículos aeroespaciales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Redactar informes técnicos u otra documentación, como manuales o boletines, para uso del personal de ingeniería, la administración o los clientes.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Dirigir o coordinar actividades de ingeniería o personal técnico involucrado en el diseño, fabricación, modificación o prueba de aeronaves o productos aeroespaciales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Evalúe los datos o el diseño del producto a partir de inspecciones o informes para verificar su conformidad con los principios de ingeniería, los requisitos del cliente, las regulaciones ambientales o los estándares de calidad.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Desarrollar criterios de diseño para productos o sistemas aeronáuticos o aeroespaciales, incluidos métodos de prueba, costos de producción, estándares de calidad, estándares ambientales o fechas de finalización.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Analizar solicitudes de proyectos, propuestas o datos de ingeniería para determinar la viabilidad, la productividad, el costo o el tiempo de producción de productos aeroespaciales o aeronáuticos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Mantener registros de los informes de desempeño para referencia futura.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Diagnosticar problemas de rendimiento revisando informes o documentación de clientes o ingenieros de campo o inspeccionando productos dañados o que funcionan mal.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Dirigir programas de investigación y desarrollo aeroespacial.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Investigar nuevos materiales para determinar la calidad o el cumplimiento de los estándares ambientales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Evaluar y aprobar la selección de proveedores estudiando el desempeño pasado o nuevos anuncios.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Revisar los diseños de ingeniería aeroespacial para determinar cómo reducir los impactos ambientales negativos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Diseñar sistemas aeroespaciales nuevos o modificar los existentes para reducir las emisiones contaminantes, como óxido de nitrógeno, monóxido de carbono o emisiones de humo.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Diseñar o diseñar sistemas de filtración que reduzcan las emisiones nocivas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros aeroespaciales,"Evaluar las especificaciones de rendimiento de los biocombustibles para determinar la viabilidad para aplicaciones aeroespaciales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Preparar informes, bocetos, dibujos de trabajo, especificaciones, propuestas y presupuestos para sitios o sistemas propuestos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Discuta los planes con clientes, contratistas, consultores y otros ingenieros para que puedan evaluarse y realizar los cambios necesarios.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Reúnase con clientes, como consejos distritales o regionales, agricultores y desarrolladores, para analizar sus necesidades.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Proporcionar asesoramiento sobre la calidad del agua y cuestiones relacionadas con la gestión de la contaminación, el control de los ríos y los recursos hídricos subterráneos y superficiales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Planificar y dirigir la construcción de sistemas rurales de distribución de energía eléctrica y sistemas de riego, drenaje y control de inundaciones para la conservación de suelos y aguas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Diseñar componentes y equipos de maquinaria agrícola, utilizando tecnología de diseño asistido por computadora (CAD).
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Probar maquinaria y equipos agrícolas para garantizar un rendimiento adecuado.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Diseñar plantas procesadoras de alimentos y sistemas mecánicos relacionados.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Visite sitios para observar problemas ambientales, consultar con contratistas o monitorear actividades de construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Diseñar estructuras para almacenamiento de cultivos, refugio y carga de animales y procesamiento de animales y cultivos, y supervisar su construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Diseñar y supervisar proyectos ambientales y de recuperación de tierras en agricultura e industrias afines.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Diseñar dispositivos de detección, medición y registro, y otros instrumentos utilizados para estudiar la vida vegetal o animal.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Llevar a cabo programas educativos que brinden a los agricultores o miembros de cooperativas agrícolas información que pueda ayudarlos a mejorar la productividad agrícola.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros Agrónomos,"Supervisar las operaciones de las plantas de procesamiento o fabricación de alimentos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Desarrollar planos constructivos finales que incluyan representaciones estéticas de la estructura o detalles para su construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Prepare dibujos a escala o diseños arquitectónicos, utilizando diseño asistido por computadora u otras herramientas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Preparar información sobre diseño, especificaciones de estructura, materiales, color, equipo, costos estimados o tiempo de construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Consultar con los clientes para determinar los requisitos funcionales o espaciales de las estructuras.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Reunirse con clientes para revisar o discutir dibujos arquitectónicos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Supervise el trabajo de especialistas, como ingenieros eléctricos, ingenieros mecánicos, diseñadores de interiores o especialistas en sonido para garantizar la forma o función óptima de los diseños o estructuras finales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Integre elementos de ingeniería en diseños arquitectónicos unificados.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Planos de diseños de proyectos arquitectónicos estructurales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Realizar observaciones periódicas en sitio de los trabajos de construcción para monitorear el cumplimiento de los planos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Preparar documentos contractuales para contratistas de construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Planificar o diseñar estructuras como residencias, edificios de oficinas, teatros, fábricas u otras propiedades estructurales de acuerdo con las regulaciones ambientales, de seguridad u otras.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Actividades directas de los técnicos dedicados a la preparación de dibujos o documentos de especificaciones.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Administrar los contratos de construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Cree representaciones tridimensionales o interactivas de diseños utilizando software de diseño asistido por computadora.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Representar a los clientes en la obtención de ofertas o adjudicación de contratos de construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Desarrollar materiales, propuestas o presentaciones de marketing para generar nuevas oportunidades laborales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Realizar servicios de prediseño, como estudios de factibilidad o de impacto ambiental.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Diseñe estructuras que incorporen prácticas o conceptos de construcción respetuosos con el medio ambiente, como los estándares de Liderazgo en Energía y Diseño Ambiental (LEED).
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Diseñar o planificar la construcción de proyectos de construcción sustentables para minimizar el impacto ambiental adverso o conservar energía.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Recopilar información relacionada con la sostenibilidad ambiental o la eficiencia operativa de los proyectos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Inspeccionar los sitios de construcción propuestos para determinar la idoneidad para la construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Diseñar mejoras estructurales ambientalmente racionales para los edificios existentes, como sistemas de iluminación natural, techos verdes o sistemas de recolección de agua de lluvia.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Calcule el ahorro potencial de energía comparando el consumo de energía estimado del diseño propuesto con los estándares de referencia.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,"Arquitectos, Excepto Paisajistas y Navales","Elaborar manuales, estudios o informes de operación y mantenimiento.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Produzca dibujos utilizando sistemas de dibujo asistidos por computadora (CAD) o máquinas de dibujo, o a mano, utilizando compases, divisores, transportadores, triángulos y otros dispositivos de dibujo.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Redactar planos y dibujos detallados de estructuras, instalaciones y proyectos de construcción, como carreteras, sistemas de eliminación de aguas residuales y diques, trabajando a partir de bocetos o notas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Coordinar diseños estructurales, eléctricos y mecánicos y determinar un método de presentación para representar gráficamente los planos de construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Analice códigos de construcción, estatutos, requisitos de espacio y sitio, y otros documentos e informes técnicos para determinar su efecto en los diseños arquitectónicos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Dibuje mapas, diagramas y perfiles, utilizando secciones transversales y levantamientos, para representar elevaciones, contornos topográficos, formaciones del subsuelo y estructuras.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Diseñe y planifique la disposición de las habitaciones interiores para edificios comerciales, utilizando equipos y software de dibujo asistido por computadora (CAD).
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Supervisar y capacitar a otros tecnólogos, técnicos y redactores.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Determinar el orden de trabajo y método de presentación, como dibujo ortográfico o isométrico.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Termine y duplique dibujos y paquetes de documentación de acuerdo con los medios y especificaciones requeridos para la reproducción, utilizando planos, fotografías u otros métodos de duplicación.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Dibuje planos a escala aproximados y detallados para cimientos, edificios y estructuras, basados ​​en conceptos preliminares, bocetos, cálculos de ingeniería, hojas de especificaciones y otros datos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Correlacionar, interpretar y modificar datos obtenidos de estudios topográficos, registros de pozos e informes de prospección geofísica.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Verifique las dimensiones de los materiales a utilizar y asigne números a las listas de materiales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Determinar los procedimientos e instrucciones a seguir, según especificaciones de diseño y cantidad de materiales requeridos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Supervisar o realizar estudios de campo, inspecciones o investigaciones técnicas para obtener los datos necesarios para revisar los planos de construcción.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Explicar los dibujos a los equipos de producción o construcción y realizar los ajustes necesarios.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Obtenga y recopile datos para completar diseños arquitectónicos, visitando sitios de trabajo para compilar mediciones según sea necesario.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Determine la calidad, el costo, la resistencia y la cantidad de los materiales requeridos e ingrese cifras en las listas de materiales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Localizar e identificar símbolos en estudios topográficos para indicar formaciones geológicas y geofísicas o instalaciones de campos petroleros.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Crea dibujos y letras a mano alzada para acompañar los dibujos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Calcule el tonelaje de excavación y prepare gráficos y diagramas de transporte de relleno para su uso en operaciones de movimiento de tierras.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Preparar dibujos en colores de diseños de paisajes e interiores para presentarlos al cliente.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Calcular pesos, volúmenes y factores de tensión y sus implicaciones para los aspectos técnicos de los diseños.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Trazar las características de los pozos de petróleo y gas a partir de grabaciones fotográficas de estudios del subsuelo y otros datos, que representen la profundidad, el grado y la dirección de la inclinación.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Reproduzca dibujos en fotocopiadoras o calque copias de planos y dibujos, utilizando papel o tela transparente, tinta, lápiz e instrumentos de dibujo estándar.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Calcule la pérdida y ganancia de calor de edificios y estructuras para determinar las especificaciones del equipo requerido, siguiendo procedimientos estándar.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Prepare estimaciones de costos, contratos, documentos de licitación e informes técnicos para proyectos específicos bajo la supervisión de un arquitecto o ingeniero.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Representar al arquitecto o ingeniero en el sitio de construcción, garantizando el cumplimiento del constructor con las especificaciones de diseño y asesorando sobre las correcciones de diseño, bajo supervisión.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Redactores arquitectónicos y civiles,"Revise bocetos, dibujos, especificaciones y otros datos de ingeniería para asegurarse de que se ajusten a los conceptos de diseño.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Documente los resultados de las pruebas mediante cámaras, hojas de cálculo, documentos u otras herramientas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Configure equipos de prueba mecánicos, hidráulicos o eléctricos de acuerdo con las especificaciones, estándares o procedimientos de prueba de ingeniería.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Leer e interpretar planos, esquemas, especificaciones de trabajo, dibujos o cuadros.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Inspeccionar o probar piezas para determinar la naturaleza o causa de defectos o mal funcionamiento.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Monitorear los equipos de prueba controlados por computadora, de acuerdo con instrucciones escritas o verbales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Analice datos de prueba para sistemas, subsistemas o componentes automotrices.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Instale equipos, como instrumentación, equipos de prueba, motores o productos de posventa, para garantizar interfaces adecuadas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Realizar o ejecutar pruebas manuales o automatizadas del rendimiento, eficiencia o durabilidad de sistemas o componentes automotrices.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Mantenga el equipo de prueba en condiciones operativas realizando mantenimiento de rutina o haciendo reparaciones o ajustes menores según sea necesario.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Analice el rendimiento de vehículos o componentes que han sido rediseñados para aumentar la eficiencia del combustible, como motores sin levas o de doble embrague o tipos alternativos de sistemas de aire acondicionado.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Mejore la eficiencia del combustible probando vehículos o componentes que utilicen materiales más livianos, como aluminio, aleación de magnesio o plástico.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Fabricar componentes o accesorios prototipo nuevos o modificar los existentes.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Solicite equipos de prueba, suministros o piezas de repuesto nuevos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Recomendar mejoras en el diseño de productos o componentes, basándose en datos de pruebas u observaciones.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Recomendar pruebas o condiciones de prueba de acuerdo con los diseños, los requisitos del cliente o los estándares de la industria para garantizar la validez de la prueba.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Pruebe el rendimiento de vehículos que utilizan combustibles alternativos, como mezclas de alcohol, gas natural, gas licuado de petróleo, biodiésel, nanodiésel o métodos de energía alternativos, como energía solar o pilas de combustible de hidrógeno.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Participar en investigaciones o pruebas de aplicaciones automotrices computarizadas, como telemetría, sistemas de transporte inteligentes, inteligencia artificial o control automático.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Técnicos en Ingeniería de Automoción,"Construir instrumentación o equipos de pruebas de laboratorio para fines especiales.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Realizar o dirigir pruebas automotrices a nivel de sistema.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Proporcionar dirección técnica a otros ingenieros o personal de soporte de ingeniería.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Realizar análisis de fallas, variaciones o causas raíz.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Calibrar los sistemas del vehículo, incluidos los algoritmos de control u otros sistemas de software.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Diseñar o analizar sistemas de automóviles en áreas como aerodinámica, combustibles alternativos, ergonomía, potencia híbrida, frenos, transmisiones, dirección, calibración, seguridad o diagnóstico.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Elaborar o presentar informes técnicos o de estado de proyectos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Realizar estudios de investigación para desarrollar nuevos conceptos en el campo de la ingeniería automotriz.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Establecer estándares de producción o control de calidad.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Alterar o modificar diseños para obtener un rendimiento funcional u operativo específico.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Investigar o implementar tecnologías automotrices ecológicas que involucren combustibles alternativos, automóviles eléctricos o híbridos, o vehículos más livianos o de menor consumo de combustible.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Desarrollar metodologías de calibración, metodologías de prueba o herramientas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Crear alternativas de diseño para componentes de vehículos, como motores sin levas o de doble embrague o sistemas de aire acondicionado alternativos, para aumentar la eficiencia del combustible.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Desarrollar o implementar métodos o procedimientos operativos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Desarrollar especificaciones de ingeniería o estimaciones de costos para conceptos de diseño automotriz.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Realizar revisiones de diseño automotriz.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Diseñe vehículos que utilicen materiales más livianos, como aluminio, aleación de magnesio o plástico, para mejorar la eficiencia del combustible.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Escribir, revisar o mantener documentación de ingeniería.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Ingenieros automotrices,"Desarrollar especificaciones para vehículos propulsados ​​por combustibles alternativos o métodos de energía alternativos.
Ocupaciones relacionadas"
