Cluster,Occupation,Skills
Architecture and Engineering,Chemical Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations']"
Architecture and Engineering,Civil Engineering Technologists and Technicians,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Transportation — Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations']"
Architecture and Engineering,Civil Engineers,"['Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Transportation — Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.\nRelated occupations']"
Architecture and Engineering,Computer Hardware Engineers,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations']"
Architecture and Engineering,"Drafters, All Other",[]
Architecture and Engineering,Electrical and Electronic Engineering Technologists and Technicians,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations']"
Architecture and Engineering,Electrical and Electronics Drafters,"['Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations']"
Architecture and Engineering,Electrical Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations']"
Architecture and Engineering,Electro-Mechanical and Mechatronics Technologists and Technicians,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations']"
Architecture and Engineering,"Electronics Engineers, Except Computer","['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations']"
Architecture and Engineering,"Energy Engineers, Except Wind and Solar","['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Economics and Accounting — Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations']"
Architecture and Engineering,"Engineering Technologists and Technicians, Except Drafters, All Other",[]
Architecture and Engineering,"Engineers, All Other",[]
Architecture and Engineering,Environmental Engineering Technologists and Technicians,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations']"
